Site ID	Site Name	Principal Investigator	Lat (deg)	Lon (deg)	Elevation (m)	Site Start	Site End	Fluxes
CA-AF1	Acadia Research Forest	Manuel Helbig	46.0092	-66.3627	78	2023		"FC, FH2O, H, LE"
CA-ARB	Attawapiskat River Bog	Elyn Humphreys	52.6950	-83.9452	90	2010		"FC, FCH4, H, LE"
CA-ARF	Attawapiskat River Fen	Elyn Humphreys	52.7008	-83.9550	88	2010		"FC, H, LE"
CA-BCW	Big Creek Watershed	Carlos Barreto	42.6206	-80.5516	201	2023		
CA-BOU	Bouleau Peatland	Michelle Garneau	50.5244	-63.2064	108	2018	2020	"FC, FCH4, H, LE"
CA-BSM	Black Spruce Moss Forest	Daniel Nadeau	50.9021	-63.4052	271	2022	2025	
CA-Ca1	British Columbia - 1949 Douglas-fir stand	T. Andrew Black	49.8673	-125.3336	300	1997		"FC, H, LE"
CA-Ca2	British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000)	T. Andrew Black	49.8705	-125.2909	300	2000		"FC, H, LE"
CA-Ca3	British Columbia - Pole sapling Douglas-fir stand	T. Andrew Black	49.5346	-124.9004		2001		"FC, H, LE"
CA-Cbo	"Ontario - Mixed Deciduous, Borden Forest Site"	Ralf Staebler	44.3184	-79.9341	210	1995		"FC, FO3, H, LE"
CA-CF1	Churchill Fen Site 1	Tim Papakyriakou	58.6658	-93.8300	16.5	2007	2008	"FC, H, LE"
CA-CF2	Churchill Fen Site 2	Mario Tenuta	58.6658	-93.8300	16.5	2008	2011	"FC, FCH4, H, LE"
CA-CF3	Churchill Fen Site 3	Susan Natali	58.6658	-93.8304	25	2022		"FC, FCH4, FH2O, H, LE"
CA-Cha	New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3)	Charles Bourque	45.8847	-67.3569	341	2004	2007	"FC, H, LE"
CA-CQ1	Québec. Carbonique1 - Lac Saint-Pierre Disturbed Marsh	Sara Knox	46.1645	-72.6850	6	2024		
CA-DB2	Delta Burns Bog 2	Sara Knox	49.1190	-122.9951	4	2019		"FC, FCH4, H, LE"
CA-DBB	Delta Burns Bog	Sara Knox	49.1293	-122.9849	4	2014		"FC, FCH4, H, LE"
CA-DL1	Daring Lake - Mixed Tundra	Peter Lafleur	64.8689	-111.5748	425	2004		
CA-DL2	Daring Lake - Fen	Peter Lafleur	64.8648	-111.5677	416	2006		
CA-DSM	Delta Salt Marsh	Sara Knox	49.0887	-122.8954		2021		"FC, FCH4, H, LE"
CA-EM1	Newdale Manitoba	Pascal Badiou	50.3623	-100.2024	607.9	2021		"FC, FCH4, H, LE"
CA-EM2	Shoal Lake Manitoba	Pascal Badiou	50.3706	-100.5339	554.3	2021		"FC, FCH4, H, LE"
CA-EM3	Oak Hammock Marsh Manitoba	Pascal Badiou	50.1738	-97.1231	255	2023		
CA-ER1	Elora Research Station 1	Claudia Wagner-Riddle	43.6405	-80.4123	370	2015		"FC, H, LE"
CA-ER2	Elora Research Station 2	Claudia Wagner-Riddle	43.6419	-80.4140	370	2015		
CA-Gro	"Ontario - Groundhog River, Boreal Mixedwood Forest"	Harry McCaughey	48.2167	-82.1556	340	2003		"FC, H, LE"
CA-HPC	Havikpak Creek	Phil Marsh	68.3203	-133.5188	80	2013		"FC, FCH4, H, LE"
CA-IQT	Iqaluit Tundra	Murray Richardson	63.7507	-68.4285	197	2023		
